Section Number,Section Title
23 01 00,Operation and Maintenance of HVAC Systems
23 01 30.51,HVAC Air-Distribution System Cleaning
23 01 50,Operation and Maintenance of Central Heating Equipment
23 01 60,Operation and Maintenance of Central Cooling Equipment
23 01 90,Diagnostic Systems for HVAC
23 05 00,Common Work Results for HVAC
23 05 16,Expansion Fittings and Loops for HVAC Piping
23 05 17,Sleeves and Sleeve Seals for HVAC Piping
23 05 19,Meters and Gages for HVAC Piping
23 05 23,General-Duty Valves for HVAC Piping
23 05 29,Hangers and Supports for HVAC Piping and Equipment
23 05 31,Pipe Enclosures*
23 05 48,Vibration and Seismic Controls for HVAC
23 05 48.13,Vibration Controls for HVAC
23 05 53,Identification for HVAC Piping and Equipment
23 05 63,Anti-Microbial Coatings for HVAC Ducts and Equipment
23 05 66,Anti-Microbial Ultraviolet Emitters for HVAC Ducts and Equipment
23 05 93,"Testing, Adjusting, and Balancing for HVAC"
23 07 00,HVAC Insulation
23 07 13,Duct Insulation
23 07 16,HVAC Equipment Insulation
23 07 19,HVAC Piping Insulation
23 08 00,Commissioning of HVAC
23 09 00,Instrumentation and Control for HVAC
23 09 13,Instrumentation and Control Devices for HVAC
23 09 13.23,Sensors and Transmitters
23 09 13.33,Control Valves
23 09 13.43,Control Dampers
23 09 23,Direct-Digital Control System for HVAC
23 09 23.11,Control Valves
23 09 23.12,Control Dampers
23 09 23.13,Energy Meters
23 09 23.14,Flow Instruments
23 09 23.16,Gas Instruments
23 09 23.17,Level Instruments
23 09 23.18,Leak Detection Instruments
23 09 23.19,Moisture Instruments
23 09 23.23,Pressure Instruments
23 09 23.27,Temperature Instruments
23 09 23.43,Weather Stations
23 09 33,Electric and Electronic Control System for HVAC
23 09 43,Pneumatic Control System for HVAC
23 09 53,Pneumatic and Electric Control System for HVAC
23 09 93,Sequence of Operations for HVAC Controls
23 10 00,Facility Fuel Systems
23 11 00,Facility Fuel Piping
23 11 13,Facility Fuel-Oil Piping
23 11 23,Facility Natural-Gas Piping
23 11 26,Facility Liquefied-Petroleum Gas Piping
23 12 13,Facility Fuel-Oil Pumps
23 12 16,Facility Gasoline Dispensing Pumps
23 13 00,Facility Fuel-Storage Tanks
23 13 13,"Facility Underground Fuel-Oil, Storage Tanks"
23 13 13.13,"Double-Wall Steel, Underground Fuel-Oil, Storage Tanks"
23 13 23,"Facility Aboveground Fuel-Oil, Storage Tanks"
23 13 23.16,"Horizontal, Steel, Aboveground Fuel-Oil, Storage Tanks"
23 13 23.19,"Containment-Dike, Steel, Aboveground Fuel-Oil, Storage Tanks"
23 13 23.23,"Insulated, Steel, Aboveground Fuel-Oil, Storage Tanks"
23 20 00,HVAC Piping and Pumps
23 21 00,Hydronic Piping and Pumps
23 21 13,Hydronic Piping
23 21 23,Hydronic Pumps
23 21 29,Condensate Pumps
23 22 13,Steam and Condensate Heating Piping
23 22 23,Steam Condensate Pumps
23 23 00,Refrigerant Piping
23 23 13,Refrigerant Piping Valves
23 23 23,Refrigerants
23 24 00,Internal-Combustion Engine Piping
23 25 00,HVAC Water Treatment
23 25 13,Water Treatment for Closed-Loop Hydronic Systems
23 25 26,Electronic Water Conditioning for HVAC Systems
23 25 33,HVAC Makeup-Water Filtration Equipment
23 30 00,HVAC Air Distribution
23 31 00,HVAC Ducts and Casings
23 31 13,Metal Ducts
23 31 13.13,Rectangular Metal Ducts
